YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2020,2,20,21.78,12.3,17.04,19.83,11.85,27.68,15.83,8.85,56.5,0
2020,2,21,21.62,13.14,17.38,20.37,13.27,28.06,14.79,9.34,61.19,0
2020,2,22,22.26,13.51,17.88,21.03,12.45,29,16.55,9.52,59.44,0
2020,2,23,23.26,15.79,19.52,22.25,10.95,29.1,18.15,11.05,64.19,0
2020,2,24,23.08,16.27,19.68,22.49,10.74,28.55,17.8,11.41,67.25,0
2020,2,25,21.26,16.15,18.7,20.58,7.53,26.06,18.54,11.35,73.44,0.97
2020,2,26,21.12,16.4,18.76,21.65,8.35,25.93,17.57,11.54,75.94,1.41
2020,2,27,21.07,15.57,18.32,21.7,9.63,26.31,16.67,10.93,73.12,0.13
2020,2,28,21.24,13.34,17.3,21.45,12.44,27.82,15.38,9.46,63.75,0
2020,2,29,22.19,13.3,17.75,21.9,12.91,28.93,16.02,9.46,59.88,0
2020,3,1,23.26,14.3,18.78,22.52,11.6,29.48,17.87,10.07,58.88,0
2020,3,2,24.24,13.99,19.12,23.02,11.41,29.74,18.33,9.89,55.25,0.38
2020,3,3,23.72,16.31,20.01,22.85,9.9,28.8,18.89,11.54,64.31,22.87
2020,3,4,23.29,17.9,20.59,22.98,9.03,27.77,18.74,12.7,72.94,21.8
2020,3,5,23.49,18.32,20.9,23.26,9.48,28.08,18.6,13.06,73.88,3.31
2020,3,6,23.29,18.15,20.72,23.36,9.87,28.13,18.27,12.88,74.75,6.25
2020,3,7,23.03,18.76,20.89,23.3,9.39,27.65,18.26,13.37,78.19,3.15
2020,3,8,24.1,19.24,21.67,24.12,8.64,28.62,19.98,13.85,75.31,1.38
2020,3,9,23.3,15.37,19.33,22.73,9.8,28.36,18.56,10.86,63.12,0
2020,3,10,22.87,13.13,18,22.12,10.5,28.9,18.41,9.34,55.69,0.05
2020,3,11,23.77,14.9,19.33,23.26,11.44,29.25,17.81,10.56,58.5,0
