YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2020,2,22,-9.95,-10.54,-10.24,-9.99,3.07,-8.32,-11.39,1.77,99.56,2.86
2020,2,23,-12.45,-12.95,-12.7,-12.55,5.18,-9.45,-14.63,1.4,99.75,1.12
2020,2,24,-13.44,-13.74,-13.59,-15.4,9.75,-7.86,-17.62,1.34,99,0.23
2020,2,25,-15.24,-15.08,-15.16,-18.97,11.71,-8.31,-20.02,1.16,99.06,0.03
2020,2,26,-13.73,-14.17,-13.95,-15.59,14.27,-8.06,-22.34,1.34,97.44,0.33
2020,2,27,-12.33,-12.81,-12.57,-14.66,6.46,-8.81,-15.27,1.4,98.88,0.54
2020,2,28,-14.68,-14.95,-14.81,-15.95,11.37,-9.07,-20.44,1.22,99.06,0.08
2020,2,29,-12.45,-12.97,-12.71,-12.53,9.16,-8.45,-17.63,1.46,99.44,1.29
2020,3,1,-13.67,-14.09,-13.88,-14.24,7.41,-9.05,-16.45,1.28,99.38,1.13
2020,3,2,-14.42,-15.36,-14.89,-16.5,8.97,-10.19,-19.16,1.1,94.81,0.39
2020,3,3,-15.6,-15.8,-15.7,-16.63,16.53,-9.2,-25.74,1.16,99,0.01
2020,3,4,-11.11,-11.63,-11.37,-12.83,8.62,-7.51,-16.13,1.59,98.81,0.88
2020,3,5,-10.13,-10.63,-10.38,-10.31,10.67,-6.49,-17.17,1.83,99.38,1.33
2020,3,6,-9.07,-9.71,-9.39,-9.14,8.23,-6.23,-14.45,1.95,98.94,1.18
2020,3,7,-17.75,-18.03,-17.89,-17.83,3.96,-15.69,-19.64,0.85,99.31,0.28
2020,3,8,-18.9,-19.1,-19,-18.88,5.93,-15.13,-21.06,0.79,99.06,0.63
2020,3,9,-11.42,-12.02,-11.72,-11.42,5.94,-8.99,-14.92,1.59,99.25,1.46
2020,3,10,-8.83,-9.45,-9.14,-8.88,4.89,-6.62,-11.52,1.95,99.25,3.22
2020,3,11,-18.52,-18.81,-18.67,-18.57,8.08,-13.22,-21.3,0.79,99.06,0.25
2020,3,12,-11.4,-11.94,-11.67,-11.38,11.84,-7.46,-19.31,1.59,99.25,3.24
2020,3,13,-6.98,-7.56,-7.27,-6.99,2.13,-6.04,-8.18,2.26,99.44,2.01
2020,3,14,-5.64,-6.17,-5.91,-5.74,6.67,-2.15,-8.81,2.56,99.38,2.5
2020,3,15,-3.68,-4.12,-3.9,-3.74,7.51,-0.19,-7.7,3.05,99.12,0.5
2020,3,16,-3.48,-3.94,-3.7,-3.5,2.04,-2.44,-4.48,3.05,99.06,2.98
2020,3,17,-4.89,-5.43,-5.16,-4.96,6.54,-1.72,-8.26,2.81,98.81,4.28
