YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2020,2,20,6.01,3.9,4.96,6.15,8.84,11.2,2.37,5.31,87.62,0.3
2020,2,21,4.11,0.15,2.13,3.93,7.47,8.68,1.21,4.03,77.12,0.07
2020,2,22,4.37,0.83,2.6,3.76,12.36,11.57,-0.79,4.27,79.19,0
2020,2,23,6.45,4.4,5.43,6.53,8.09,11.41,3.33,5.43,87.94,0.03
2020,2,24,7.69,6.13,6.9,7.89,10.52,13.6,3.08,6.23,90.62,0.08
2020,2,25,5.28,4.3,4.79,5.24,5.55,8.78,3.23,5.49,93.38,3.49
2020,2,26,2.05,0.41,1.23,2.08,3.13,3.97,0.83,4.15,89.25,2.66
2020,2,27,3.8,3.11,3.45,3.69,8.91,9.81,0.9,5.13,95.25,5.53
2020,2,28,4.49,3.13,3.81,4.66,9.27,8.6,-0.67,5.13,91.25,0.27
2020,2,29,6.83,5.02,5.93,6.53,6.71,11.12,4.4,5.86,88.38,1.35
2020,3,1,5.23,4.1,4.66,5.1,5.02,8.51,3.49,5.49,92.5,3.01
2020,3,2,3.69,2.57,3.13,3.55,4.45,5.69,1.23,4.94,92.38,9.65
2020,3,3,2.55,1.45,2,2.8,4.53,5.24,0.71,4.52,92.69,2.66
2020,3,4,4.1,2.37,3.23,4.3,7.01,7.08,0.07,4.88,89.31,1.88
2020,3,5,7.33,6.13,6.73,7.17,7.23,10.12,2.89,6.41,92.12,13.6
2020,3,6,3.52,2.19,2.86,3.91,4.49,6.39,1.9,4.76,91.19,3.71
2020,3,7,3.28,1.58,2.43,3.63,6.09,6.62,0.52,4.52,88.81,0.37
2020,3,8,5.23,3.93,4.58,5.4,6.63,8.56,1.93,5.31,91.56,1.95
2020,3,9,4.3,2.63,3.46,4.44,3.76,6.44,2.68,4.82,89.5,2.46
2020,3,10,6.49,5.94,6.21,6.36,5.36,8.65,3.3,6.16,96.12,6.01
2020,3,11,8.5,7.79,8.15,8.52,5.07,11.75,6.68,6.96,94.88,0.38
2020,3,12,7.99,7.18,7.58,8.01,6.2,10.23,4.03,6.65,94.56,0.61
2020,3,13,4.15,0.05,2.09,4.47,7.47,8.7,1.23,4.03,76.44,0.01
2020,3,14,4.68,1.23,2.95,3.59,9.85,10.01,0.16,4.46,78.94,0.04
2020,3,15,6.56,4.16,5.37,6.22,15.38,14.9,-0.49,5.49,85.12,0.1
2020,3,16,8.24,6.07,7.15,7.66,8.05,12.32,4.27,6.16,86.69,2.91
2020,3,17,10.05,6.69,8.37,9.49,10.85,15.27,4.42,6.41,80.88,0.06
2020,3,18,10.51,7.88,9.19,9.98,11.59,17.12,5.53,6.96,84.94,0
2020,3,19,11.9,7.64,9.77,10.98,13.84,18.55,4.72,6.9,76.75,0.05
2020,3,20,10.8,6.51,8.66,10.39,9.58,16.78,7.2,6.41,76.62,0.31
2020,3,21,9.3,6.98,8.14,9.33,11.49,14.79,3.3,6.65,86.5,0.13
2020,3,22,7.69,6.51,7.1,7.84,4.66,10.4,5.73,6.41,92.5,2
2020,3,23,8.46,6.09,7.28,9.05,10.91,14.4,3.49,6.23,86.5,0.18
2020,3,24,4.64,0.22,2.43,5.2,12.53,10.78,-1.75,4.09,76.12,0.02
2020,3,25,2.93,-1.01,0.96,3.23,13.18,10.02,-3.16,3.78,77.75,0
2020,3,26,1.03,-2.15,-0.56,1.37,11.31,6.76,-4.56,3.42,80.88,0.03
2020,3,27,3.53,0.21,1.87,3.64,12.37,9.97,-2.4,4.15,81.12,0
2020,3,28,7.23,3.64,5.44,6.83,10.65,13.01,2.37,5.25,79.31,0
2020,3,29,2.81,1.18,2,3.06,5.87,5.23,-0.63,4.46,88.69,1.37
2020,3,30,0.64,-2.22,-0.79,0.93,8.19,5.12,-3.06,3.42,82.69,0.61
2020,3,31,1.1,-4.2,-1.56,1.23,13.34,8.43,-4.92,2.93,71.62,0
2020,4,1,3.37,-1.72,0.83,3.33,14.9,10.83,-4.08,3.6,72.75,0
2020,4,2,4.21,-0.1,2.06,4.45,13.02,11.58,-1.45,4.03,76.75,0.01
2020,4,3,4.1,1.25,2.68,4.22,12.75,10.49,-2.25,4.46,83.06,0
2020,4,4,7.37,2.78,5.08,6.94,17.18,15.95,-1.23,4.94,74.38,0
2020,4,5,8.56,1.85,5.2,8.17,15.34,17.01,1.67,4.64,65,0
2020,4,6,9.95,3.31,6.63,9.42,12.73,16.55,3.82,5.19,64.88,0.12
2020,4,7,11.4,6.04,8.72,10.94,13.6,18.08,4.48,6.16,72.31,0
2020,4,8,12,5.57,8.78,11.56,13.84,18.84,4.99,5.98,67.31,0
2020,4,9,12.26,6.15,9.2,11.52,14.67,19.75,5.08,6.23,69.44,0
2020,4,10,13.54,7.14,10.34,12.62,13.12,20.33,7.22,6.65,67.31,0
2020,4,11,13.73,7.09,10.4,13.2,13.95,20.32,6.37,6.65,66.56,0.01
2020,4,12,11.55,7.02,9.29,11.43,10.68,16.9,6.22,6.65,75.5,1.25
2020,4,13,11.43,6.54,8.98,11.58,10.99,17.27,6.28,6.47,73.88,0.12
2020,4,14,7.26,0.87,4.07,7.62,9.68,12.15,2.48,4.33,67.19,0.01
2020,4,15,10.62,4.36,7.49,10.58,19.77,19.96,0.19,5.68,68.25,0
2020,4,16,13.33,8.58,10.96,13.41,11.52,18.94,7.42,7.45,73.94,0.15
2020,4,17,12.8,9.23,11.01,12.79,11.91,19.34,7.44,7.87,79.81,4.17
2020,4,18,13.11,10.87,11.99,13.35,8.94,17.85,8.9,8.61,87.19,5.77
2020,4,19,12.37,11.28,11.82,12.23,5.17,15.4,10.24,8.85,93.12,6.14
2020,4,20,12.5,11.39,11.94,12.3,6.04,15.74,9.7,8.97,93.06,3.51
2020,4,21,12.74,11.09,11.92,12.77,5.87,16.15,10.29,8.79,90.06,1.71
2020,4,22,13.23,10.75,11.99,13.21,9.39,17.29,7.89,8.54,85.38,0.67
2020,4,23,14.07,10.94,12.5,14.51,8.95,18.98,10.04,8.61,83.06,0.26
2020,4,24,14.69,11.37,13.02,14.93,11.05,19.86,8.81,8.91,81.38,0.87
2020,4,25,14.25,11.49,12.87,14.45,8.91,18.58,9.66,9.03,84.75,2.24
2020,4,26,13.11,9.99,11.55,12.84,6.25,16.26,10.01,8.18,82.25,1
2020,4,27,12.62,9.96,11.29,12.49,10.12,17.3,7.18,8.18,84.94,10.5
2020,4,28,9.94,7.52,8.73,10.45,6.6,13.79,7.19,6.9,85.88,2.04
2020,4,29,10,7.69,8.84,10.34,6.51,13.34,6.83,6.96,86.31,4.74
2020,4,30,8.89,6.87,7.87,8.9,4.84,11.64,6.8,6.59,87.56,5.43
2020,5,1,10.07,8.62,9.34,10.05,6.88,13.55,6.67,7.45,90.88,13.83
2020,5,2,11.64,10.65,11.14,11.61,6.62,15.15,8.52,8.48,93.69,16.29
2020,5,3,13.33,11.95,12.64,13.1,5.97,17.04,11.08,9.22,91.75,5.09
2020,5,4,16.05,11.9,13.98,16.08,13.69,22.59,8.9,9.28,78.5,0.91
2020,5,5,15.08,12.65,13.87,15.26,9.01,19.83,10.82,9.7,86.19,2.84
2020,5,6,13.3,10.48,11.89,13.94,9.93,18.13,8.2,8.36,84.19,0.1
2020,5,7,14.83,8.31,11.57,14.48,15.59,21.62,6.03,7.26,67.81,0
2020,5,8,16.19,11.61,13.9,16.14,11.73,22.29,10.56,9.09,75.81,0.8
2020,5,9,15.25,11.22,13.23,15.17,11.05,21.07,10.01,8.97,78.12,3.14
2020,5,10,13.99,11.62,12.8,14.21,10.36,19.34,8.98,9.16,86.5,3.96
2020,5,11,8.32,7.36,7.83,8.55,9.8,12.94,3.15,7.02,93.69,6.81
2020,5,12,7.48,3.86,5.67,8.39,9.9,12.51,2.62,5.37,79.31,0.62
2020,5,13,8.4,7.24,7.82,8.7,5.23,11.4,6.17,6.77,92.56,14.82
2020,5,14,8.95,6.64,7.8,9.32,7.4,12.77,5.37,6.47,86.06,0.48
2020,5,15,9.44,6.65,8.05,9.87,7.9,13.36,5.46,6.47,83.62,0.12
2020,5,16,11.01,6.72,8.87,11.44,11.94,16.94,5,6.47,76.56,0
2020,5,17,10.26,6.06,8.15,10.69,12.85,16.3,3.45,6.16,76.94,0
2020,5,18,12.37,7.87,10.12,12.5,13.05,18.24,5.2,7.02,75.81,0
2020,5,19,13.2,8.08,10.64,13.24,11.7,18.87,7.18,7.08,73.88,0
2020,5,20,15.58,11.91,13.75,15.57,14.8,22.19,7.4,9.22,80.12,0
2020,5,21,17.85,13.39,15.62,17.71,13.04,23.79,10.75,10.13,76.69,0
2020,5,22,18.54,15.13,16.83,18.58,10.17,24.4,14.23,11.35,81.31,0.17
2020,5,23,11.69,9.51,10.6,11.9,6.95,14.66,7.72,7.87,86.94,8.74
2020,5,24,11.49,7.31,9.4,12.42,10.96,16.87,5.9,6.65,76.88,0
2020,5,25,13.6,9.25,11.43,14.03,13.36,19.58,6.22,7.63,76.88,0
2020,5,26,14.32,9.08,11.7,14.55,12.04,20.1,8.06,7.51,73.5,0
2020,5,27,14.38,8,11.19,14.56,13.73,20.83,7.11,6.96,69.12,0
2020,5,28,16.3,9.98,13.15,16.44,14.41,22.53,8.12,8.06,69,0
2020,5,29,14.78,7.16,10.97,14.98,10.64,20.1,9.46,6.71,64.38,0
2020,5,30,14.54,7.38,10.96,14.94,13.51,20.66,7.15,6.77,65.19,0
2020,5,31,15.87,8.36,12.11,16.29,14.4,22.47,8.07,7.26,64.12,0.02
2020,6,1,15.98,11.37,13.67,16.31,11.19,21.47,10.27,8.91,75.88,11.87
2020,6,2,18.18,11.77,14.98,18.07,13.09,23.56,10.48,9.16,68.44,0.22
2020,6,3,17.43,13.14,15.29,17.29,9.02,21.94,12.93,10.13,77.19,10.99
2020,6,4,12.61,9.96,11.28,13.02,5.87,15.77,9.9,8.18,84.81,3.49
2020,6,5,11.75,9.56,10.65,12.19,9.38,16.46,7.08,8,86.88,1.7
2020,6,6,11.93,10.24,11.08,12.08,5.98,14.43,8.44,8.3,89.56,4.73
2020,6,7,11.22,6.29,8.76,12.61,9.77,16.05,6.28,6.35,74.38,1
2020,6,8,10.6,8.3,9.45,10.9,6.41,13.94,7.53,7.26,86.5,6.28
2020,6,9,10.86,8.21,9.54,11.33,5.5,13.51,8.01,7.14,84.5,1.6
2020,6,10,12.27,7.66,9.97,13.26,9.15,17.02,7.87,6.9,75.69,0.85
2020,6,11,12.94,9.43,11.18,13.36,8.47,17.37,8.9,7.87,80.81,12.53
2020,6,12,12.19,9.94,11.07,12.48,6.38,15.7,9.32,8.18,86.75,26.68
2020,6,13,12.82,10.51,11.67,13.17,7.36,16.38,9.03,8.42,86.81,7.13
2020,6,14,13.24,9.96,11.6,13.83,8.67,17.83,9.16,8.06,81.81,0.47
2020,6,15,12.94,10.48,11.71,13.59,8.48,17.19,8.72,8.36,85.38,1.13
2020,6,16,13.26,10.72,11.99,13.89,8.48,17.61,9.13,8.48,85.19,3.52
2020,6,17,12.79,9.98,11.38,13.34,6.59,16.58,9.98,8.12,84.06,3.02
2020,6,18,12.59,9.98,11.28,13.13,7.22,16.54,9.32,8.12,85.06,3.91
2020,6,19,13.15,9.55,11.36,13.76,9.08,17.92,8.84,7.81,80.12,0.08
2020,6,20,15.2,10.71,12.96,15.43,11.08,20.3,9.23,8.48,76.56,0.01
2020,6,21,15.49,12.36,13.92,16.08,10.93,20.87,9.93,9.46,82.69,0.26
2020,6,22,16.31,11.93,14.12,17.15,10.18,21.25,11.07,9.16,77.19,0.36
2020,6,23,18.01,12.3,15.15,18.19,16.08,24.9,8.83,9.52,71.38,0
2020,6,24,22.06,15.5,18.78,22.2,14.45,28.44,13.99,11.72,69.19,0.15
2020,6,25,22.65,17.08,19.87,23.14,12.4,28.77,16.37,12.94,73.44,1.93
2020,6,26,20.15,18.06,19.11,20.25,6.57,24.26,17.69,13.73,88.44,8.34
2020,6,27,18.72,15.55,17.13,19.26,9.09,23.22,14.12,11.72,82.94,7.26
2020,6,28,16.96,14.33,15.64,17.56,6.89,21.12,14.23,10.74,85.31,2.6
2020,6,29,16.07,11.62,13.84,16.86,8.82,19.68,10.85,9.09,76.88,0.65
2020,6,30,16.65,12.12,14.38,17.61,13.72,22.75,9.03,9.46,76.62,0.01
2020,7,1,18.91,15.58,17.24,19.44,12.23,24.65,12.42,11.78,82.06,1.37
2020,7,2,15.89,11.42,13.65,16.72,7.54,19.41,11.87,8.91,76,0.19
2020,7,3,14.92,9.26,12.09,16.1,9.26,19.78,10.51,7.69,71.31,0.14
2020,7,4,16.58,11.26,13.92,17.8,12.47,22.15,9.68,8.85,73.81,0.03
2020,7,5,19.27,15.12,17.2,20.34,11.34,24.65,13.3,11.35,78.62,0.08
2020,7,6,16.06,9.57,12.81,17.11,9.7,20.29,10.58,8,68.25,0.32
2020,7,7,15.37,7.13,11.25,15.98,13.91,21.77,7.86,6.65,60.94,0
2020,7,8,19.37,8.73,14.05,19.67,14.75,26.52,11.77,7.51,52.12,0
2020,7,9,21.88,11.27,16.58,21.98,14.92,28.8,13.88,8.91,53.44,0
2020,7,10,18.44,12.64,15.54,19.55,10.51,24.29,13.79,9.64,71.94,0.73
2020,7,11,16.37,7.89,12.12,17.44,11.35,22.13,10.78,7.08,61.19,0.04
2020,7,12,17.04,6.34,11.69,17.69,15.45,24.31,8.86,6.29,52.75,0
2020,7,13,18.73,7.54,13.13,19.19,13.95,25.4,11.45,6.84,51.06,0
2020,7,14,18.69,7.74,13.22,18.83,10.43,24.02,13.59,6.96,50.75,0.1
2020,7,15,15.72,11.12,13.42,16.27,7.55,18.98,11.43,8.79,75.31,3.72
2020,7,16,16.47,11.32,13.9,17.73,11.09,22.13,11.05,8.79,73.81,0.21
2020,7,17,16.44,11.46,13.95,17.26,9.05,21.13,12.08,8.91,74.19,0.22
2020,7,18,18.54,10.03,14.28,19.22,15.48,25.81,10.34,8.12,62.06,0.01
2020,7,19,21.4,9.46,15.43,21.63,14.39,28.36,13.98,7.81,49.5,0
2020,7,20,23.51,10.34,16.93,23.98,15.46,30.57,15.11,8.36,45.81,0.02
2020,7,21,22.81,15.07,18.94,23.65,12.4,29.37,16.98,11.35,63.5,2.6
2020,7,22,22.02,15.3,18.66,22.53,11.52,27.54,16.01,11.54,67.25,2.62
2020,7,23,21.09,9.15,15.12,22.19,15.42,28.99,13.57,7.69,49.62,0.01
2020,7,24,21.06,8.98,15.02,21.87,12.69,27.47,14.78,7.57,48.25,0.01
2020,7,25,20.67,10.67,15.67,21.95,13.51,26.77,13.27,8.48,55.81,0.04
2020,7,26,20.15,12.62,16.39,21,10.37,25.53,15.16,9.64,64.25,0.37
2020,7,27,23.61,12.64,18.12,24.4,18.21,32.28,14.07,9.7,55.44,0.02
2020,7,28,21.04,12.72,16.87,22.27,12.45,27.4,14.96,9.77,61.25,0.05
2020,7,29,21.84,8.35,15.09,23.33,17.45,30.14,12.69,7.26,45.31,0
2020,7,30,26.65,12.28,19.47,27.33,18.41,34.92,16.51,9.58,42.5,0.48
2020,7,31,28.56,14.66,21.61,29.26,16.57,37.4,20.83,11.11,46.81,3.4
2020,8,1,24.34,15.12,19.73,25.75,13.53,32.12,18.59,11.35,59.62,0.52
2020,8,2,19.68,11.62,15.65,20.87,7.73,23.8,16.07,9.09,61.25,0.16
2020,8,3,16.62,7.2,11.91,17.62,9.02,20.9,11.87,6.71,54.94,0.7
2020,8,4,15.99,5.83,10.91,17.41,14.56,22.9,8.34,6.1,55.81,0.01
2020,8,5,19.33,5.48,12.4,20.37,17.62,27.64,10.02,5.92,43.88,0
2020,8,6,23.49,6.13,14.81,24.33,18.8,32.73,13.92,6.23,35.88,0
2020,8,7,26.94,6.79,16.87,27.58,20.39,36.69,16.29,6.53,31.19,0
2020,8,8,27.96,11.85,19.9,28.77,17.64,36.26,18.62,9.22,39.25,0.1
2020,8,9,28.53,13.4,20.96,28.79,12.68,34.33,21.65,10.13,41.38,0.49
2020,8,10,27.8,13.76,20.77,29.01,14.05,34.68,20.62,10.44,44.81,0.74
2020,8,11,23.87,16.63,20.25,24.11,7.74,28.67,20.93,12.51,64.81,2.2
2020,8,12,25.51,13.91,19.71,26.11,12.09,32.34,20.26,10.68,53.56,2.81
2020,8,13,19.92,16.11,18.01,20.48,8.66,24.73,16.07,12.15,80.12,8.49
2020,8,14,19.62,12.98,16.3,20.57,9.66,25.26,15.6,9.95,68.31,0.73
2020,8,15,21.95,8.79,15.37,23,17.3,29.96,12.67,7.51,47.44,0.87
2020,8,16,19.02,12.44,15.73,19.85,9.4,24.15,14.75,9.58,67.75,7.17
2020,8,17,18.33,10.6,14.47,19.28,10.96,23.54,12.57,8.48,63.44,0.25
2020,8,18,20.12,12.27,16.19,21.17,11.03,25.85,14.82,9.46,63,0.25
2020,8,19,21.97,12.16,17.07,22.3,14.97,29.83,14.87,9.4,56.12,0.09
2020,8,20,26.02,14.08,20.05,26.65,14.86,33.73,18.86,10.74,49.88,0.01
2020,8,21,23.79,14.93,19.36,24.71,13.42,30.15,16.73,11.23,58.88,5.74
2020,8,22,18.73,10.56,14.64,19.77,11.89,24.68,12.8,8.36,62.38,4.49
2020,8,23,17.51,9.87,13.69,18.8,8.99,22.55,13.56,8,63.5,0.18
2020,8,24,17.93,8.31,13.12,19.29,13.43,24.68,11.25,7.2,56.75,0
2020,8,25,21.15,8.43,14.79,21.88,15.03,28.87,13.84,7.45,48.38,0.07
2020,8,26,18.2,11.08,14.65,19,8.87,23.1,14.23,8.73,65.81,0.21
2020,8,27,20.03,10.8,15.41,20.69,14.48,26.49,12.01,8.61,58.31,0.33
2020,8,28,16.65,11.51,14.08,17.11,8.61,19.93,11.31,9.22,74.06,9.69
2020,8,29,14.53,8.36,11.44,15.74,9.52,19.76,10.24,7.32,69.38,1.65
2020,8,30,12.9,9.35,11.12,13.85,7.04,17.29,10.24,7.81,80.81,3.14
2020,8,31,13.71,8.9,11.3,14.56,9.62,18.61,8.98,7.57,75,1.96
2020,9,1,13.73,4.76,9.24,14.44,12.6,20.38,7.78,5.62,57.88,0
2020,9,2,14.72,6.28,10.5,15.1,12.73,21.58,8.84,6.29,60.69,0
2020,9,3,18.28,5.18,11.73,18.65,14.84,25.69,10.85,5.8,44.31,0
2020,9,4,21.61,7.14,14.37,22.12,18.58,31.26,12.68,6.65,42.25,0
2020,9,5,19.09,8.33,13.72,20.05,13.95,26.43,12.48,7.26,51.75,0
2020,9,6,14.58,6.53,10.55,15.86,10.69,19.87,9.19,6.47,61.88,0.02
2020,9,7,13.27,3.85,8.56,14.01,13.89,20.32,6.43,5.25,57.31,0
2020,9,8,15.7,4.26,9.98,16.23,16.85,24.1,7.26,5.43,49.19,0
2020,9,9,19.56,7.12,13.33,20.05,17.22,28.46,11.24,6.59,47.5,0.01
2020,9,10,19.67,8.36,14.01,20.01,13.36,26.83,13.47,7.32,50.12,0
2020,9,11,19.98,10.05,15.02,20.32,12.71,26.81,14.11,8.18,56.25,0
2020,9,12,20.07,6.64,13.35,19.98,13.89,27.57,13.69,6.41,44.62,0
2020,9,13,20.6,7.81,14.2,20.71,18.34,29.92,11.58,6.96,47.69,0
