YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2020,2,22,15.19,10.89,13.04,16.46,10.96,22.08,11.12,9.58,78.62,0.02
2020,2,23,14.4,9.98,12.19,15.6,10.09,20.81,10.73,9.03,77.5,0.24
2020,2,24,14.43,9.64,12.03,14.51,12.81,21.39,8.58,8.85,76.12,2.23
2020,2,25,15.96,10.22,13.08,16.13,12.27,22.96,10.69,9.22,72.44,1.15
2020,2,26,17.23,10.99,14.11,17.47,13.2,24.65,11.45,9.7,71.25,0.04
2020,2,27,16.48,12.68,14.58,16.97,9.61,21.95,12.34,10.86,80.5,1.18
2020,2,28,16.73,11.62,14.17,17.15,10.02,22.12,12.09,10.19,75.25,2.31
2020,2,29,17.19,8.59,12.89,17.13,12.84,24.94,12.11,8.36,62.31,0.51
2020,3,1,17.73,5.37,11.55,17.36,15.57,26.73,11.15,6.71,48.69,0.01
2020,3,2,18.44,7.76,13.11,18.44,14.05,26.44,12.39,7.87,54.56,0.23
2020,3,3,18.7,8.94,13.82,18.71,12.39,25.61,13.22,8.54,57.25,1.89
2020,3,4,16.39,9.68,13.04,17.27,12.08,23.19,11.12,8.91,68.5,2.76
2020,3,5,14.99,9.73,12.36,16.29,13.7,22.88,9.18,8.97,75.25,3.08
2020,3,6,16.98,9.47,13.23,17.87,13.8,24.82,11.02,8.85,67.25,0.7
2020,3,7,17.39,7.69,12.54,17.93,14.99,25.65,10.65,7.75,56.5,0
2020,3,8,17.26,6.64,11.95,17.78,15.12,25.55,10.44,7.26,53.31,0
2020,3,9,17.65,5.03,11.33,17.91,16.66,26.33,9.67,6.53,47.81,0
2020,3,10,16.48,7.53,12.01,17.04,15.48,24.45,8.98,7.75,59.06,0.04
2020,3,11,16.86,8.91,12.89,17.65,16.64,26.2,9.56,8.48,65.56,0.03
2020,3,12,19.27,6.9,13.08,19.31,16.98,28.41,11.44,7.39,48.94,0
2020,3,13,20.44,6.79,13.61,20.79,16.86,29.8,12.94,7.39,46,0
2020,3,14,19.94,11.1,15.52,20.9,17.3,29.68,12.38,9.83,62.62,0
2020,3,15,19.37,11.34,15.36,20.91,17.02,29.36,12.35,10.01,66.38,0
2020,3,16,20.35,12.71,16.53,21.82,15.41,29.23,13.81,10.99,68.06,0
2020,3,17,20.94,12.57,16.75,21.93,13.23,28.87,15.63,10.99,65.12,0.1
2020,3,18,20.19,10.44,15.32,20.95,14.39,28.17,13.78,9.58,60.19,1.49
2020,3,19,19.37,5.25,12.31,19.76,14,27.43,13.42,6.71,45,0.23
2020,3,20,19.46,8.73,14.09,20,15.21,27.99,12.78,8.48,55.69,0.04
2020,3,21,19.88,9.27,14.58,20.73,13.96,27.82,13.87,8.85,56.94,2.08
2020,3,22,19.36,9.31,14.33,20.2,12.75,26.8,14.05,8.79,56.81,1.44
2020,3,23,18.57,11.19,14.87,19.02,10.41,24.61,14.19,9.89,65.44,5.33
2020,3,24,18.62,11.37,14.99,19.26,12.48,25.47,12.98,10.07,67.69,2.13
2020,3,25,18.82,9.85,14.33,19.12,13.41,26.62,13.22,9.22,61.81,4.48
2020,3,26,19.3,7.31,13.3,19.58,14.63,27.4,12.78,7.63,49.31,0.03
2020,3,27,20.85,9.1,14.98,21.29,15.59,29.57,13.98,8.61,51.12,0
2020,3,28,21.83,11.18,16.51,22.09,14.23,29.8,15.58,9.89,54.25,0.03
2020,3,29,21.78,10.64,16.21,22.2,16.2,30.53,14.33,9.58,53.69,0.02
2020,3,30,22.42,8.28,15.35,22.72,15.96,31.6,15.64,8.24,46.06,0.1
2020,3,31,21.87,4.9,13.38,22.4,16.46,31.35,14.89,6.71,40.06,0.01
2020,4,1,21.4,10.91,16.16,21.87,15.98,29.65,13.68,9.83,55.56,0.58
2020,4,2,21.9,11.93,16.92,22.83,13.12,29.68,16.56,10.5,58.62,1.11
2020,4,3,21.87,8.45,15.16,22.75,15.09,30.49,15.4,8.48,49.56,0.14
2020,4,4,20.88,12.94,16.91,22.23,13.69,28.6,14.91,11.17,65.94,1.33
2020,4,5,18.65,12.35,15.5,20.12,11.01,25.18,14.18,10.62,70.62,1.3
2020,4,6,18.5,10.38,14.44,20.33,14.88,26.83,11.94,9.4,64.81,0.32
2020,4,7,19.47,9.09,14.28,21.56,15.85,28.38,12.53,8.73,59.25,0.06
2020,4,8,19.87,9.95,14.91,22.1,15.98,28.56,12.58,9.22,60.94,0.05
2020,4,9,18.99,12.19,15.59,20.37,10.89,25.02,14.13,10.56,68.38,0.01
2020,4,10,19.8,13.73,16.77,20.41,9.96,25.62,15.65,11.66,71.44,7.51
2020,4,11,21.47,9.69,15.58,22.63,15.3,29.86,14.56,9.09,54.19,0.52
2020,4,12,17.07,10.76,13.92,18.58,9.59,22.02,12.43,9.58,68.31,5.03
2020,4,13,13.8,10.01,11.9,15.2,7.59,18.24,10.65,9.09,79.06,10.58
2020,4,14,17.4,10.62,14.01,19.38,16.98,26.98,10,9.52,70.5,1.28
2020,4,15,20.17,11.18,15.68,21.55,16.38,29.74,13.36,10.07,65.56,1.22
2020,4,16,21.4,13.37,17.39,22.56,15.91,29.55,13.64,11.47,65.69,0
2020,4,17,21.24,13.89,17.57,22.19,11.41,27,15.58,11.84,66.38,1.75
2020,4,18,21.36,12.38,16.87,22.51,13.83,29.04,15.22,10.8,62.44,0.71
2020,4,19,22.3,10.81,16.55,23.35,15.38,30.39,15.01,9.7,53.06,0.02
2020,4,20,23.02,11.85,17.44,24.33,14.51,31.05,16.55,10.38,54.25,0.07
2020,4,21,23.88,12.8,18.34,25.09,14.06,31.36,17.3,11.11,55,0.32
2020,4,22,22.62,14.6,18.61,23.61,10.69,28.4,17.72,12.45,64.62,1.12
2020,4,23,19.45,15.24,17.35,19.88,8.98,23.8,14.83,12.88,78.38,5.22
2020,4,24,12.1,8.5,10.3,13.4,5.9,14.89,8.99,8.24,79.38,26.81
2020,4,25,13.44,9.88,11.66,14.7,9.71,18.69,8.98,9.03,80.19,4.76
2020,4,26,12.79,9.11,10.94,13.4,5.2,15.93,10.73,8.54,79.38,9.15
2020,4,27,15.16,7.86,11.51,15.9,11.48,21.43,9.94,7.81,64.69,0.31
2020,4,28,17.44,7.86,12.65,18.01,13.06,24.27,11.21,7.87,56.56,0.02
2020,4,29,19.15,11.1,15.12,20.61,13.29,26.49,13.2,9.83,63,1.27
2020,4,30,17.93,14.35,16.14,18.69,8.84,22.98,14.13,12.08,81.25,8.52
2020,5,1,19.98,14.82,17.4,21.26,10.99,25.82,14.83,12.51,75.56,1.54
2020,5,2,21.55,14.54,18.05,23.16,14.2,29.05,14.86,12.33,69.06,0.2
2020,5,3,21.65,15.78,18.72,22.64,11.52,28.05,16.53,13.37,73.12,0.1
2020,5,4,22.8,15.3,19.05,24.37,13.81,30.23,16.43,13,67.94,0.23
2020,5,5,23.43,15,19.21,24.76,15.16,31.22,16.06,12.7,64,0.01
2020,5,6,24.63,14.74,19.69,25.87,15.13,32.45,17.32,12.51,58.69,0
2020,5,7,25.09,14.67,19.88,26.24,14.71,32.81,18.1,12.45,56.81,0
2020,5,8,25.79,14.38,20.08,27.15,16.08,34.05,17.98,12.39,55.81,0
2020,5,9,24.96,13.46,19.21,26.45,14.35,33.11,18.76,11.9,57.19,0.1
2020,5,10,24.9,14.25,19.57,26.63,15.14,33.01,17.87,12.27,58.56,0.04
2020,5,11,25.63,14.73,20.18,27.83,14.88,33.51,18.62,12.63,57.31,0.02
2020,5,12,23.29,17.17,20.23,24.62,10.64,29.33,18.69,14.65,71.75,2.11
2020,5,13,21.4,15.87,18.63,22,8.77,26.4,17.64,13.43,73.12,5.42
2020,5,14,22.55,12.72,17.63,24.06,16.55,31.05,14.5,11.05,60.25,0.44
2020,5,15,22.83,12.7,17.76,24.06,14.11,30.11,16,10.99,57.38,0.25
2020,5,16,24.47,13.94,19.2,26.15,14.32,31.85,17.54,12.02,55.88,0.38
