YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2020,2,24,23.87,22.18,23.02,23.71,6.39,27.66,21.27,18.19,90.81,11.94
2020,2,25,23.55,22.2,22.87,23.4,4.3,26.3,22,18.19,92.38,1.16
2020,2,26,22.64,22.26,22.45,22.58,2.98,24.27,21.29,18.25,97.62,9.37
2020,2,27,22.81,21.33,22.07,22.8,6.66,26.81,20.15,17.27,91.81,4.65
2020,2,28,22.48,22.15,22.31,22.45,2.62,23.9,21.28,18.13,97.94,15.49
2020,2,29,23.37,21.55,22.47,23.15,7.23,27.44,20.22,17.52,90.31,5.33
2020,3,1,22.87,22.23,22.55,22.67,2.71,24.2,21.49,18.25,96.19,37
2020,3,2,23.61,21.9,22.76,23.15,7.01,27.56,20.55,17.88,90.88,34.05
2020,3,3,23.26,22.34,22.8,23.23,4.77,26.26,21.49,18.37,94.75,27.81
2020,3,4,22.89,21.74,22.31,22.73,4.58,25.58,21,17.7,93.5,45.98
2020,3,5,21.95,20.91,21.43,21.84,3.95,24.26,20.31,16.78,94,57.52
2020,3,6,21.92,20.33,21.13,21.81,6.47,25.71,19.25,16.17,91.38,4.86
2020,3,7,22.82,20.78,21.8,22.59,6.8,26.8,20,16.66,89.12,3
2020,3,8,22.88,20.97,21.92,22.55,6.27,26.23,19.96,16.85,89.69,2.43
2020,3,9,23.6,21.69,22.65,23.3,7.41,27.62,20.22,17.64,89.81,3.3
2020,3,10,22.09,20.28,21.19,21.9,4.88,24.69,19.81,16.17,90.06,0.67
2020,3,11,23.24,20.21,21.73,22.88,9.2,27.99,18.79,16.17,84.25,0.99
2020,3,12,22.33,21.98,22.15,22.26,3.58,24.26,20.69,17.94,97.94,19.3
2020,3,13,23.26,21.95,22.61,22.87,6.16,27.05,20.88,17.88,92.94,19.35
2020,3,14,23.42,21.55,22.48,23.42,6.79,27.19,20.4,17.46,90.06,5.1
2020,3,15,23.85,21.33,22.59,23.76,7.23,27.9,20.69,17.27,86.94,0.07
